timestamp,pose_id,q0,qx,qy,qz,tx,ty,tz,error,x,y,z,u,v,w
1773040744.8991506,1,0.6395483016967773,-0.25346240401268005,-0.6315940022468567,-0.3575245440006256,-56.807029724121094,-187.5252685546875,-1572.0001220703125,0.13365502655506134,581.1221,-101.30444,306.18115,89.38344,-174.5022,80.50932
1773040744.9122045,1,0.6395282745361328,-0.25335049629211426,-0.631588876247406,-0.3576488196849823,-56.80601119995117,-187.52203369140625,-1571.9981689453125,0.13325980305671692,581.1221,-101.30444,306.18115,89.38344,-174.5022,80.50932
1773040744.9246917,1,0.639555811882019,-0.2533053159713745,-0.6315711736679077,-0.3576626479625702,-56.803565979003906,-187.5233154296875,-1572.0042724609375,0.13532233238220215,581.122,-101.304535,306.18103,89.38342,-174.5022,80.50933
1773040744.9543438,1,0.6393063068389893,-0.2533565163612366,-0.6318497657775879,-0.35758042335510254,-56.8037109375,-187.51751708984375,-1571.96533203125,0.1314968317747116,581.122,-101.3044,306.181,89.38342,-174.50217,80.50935
1773040744.96618,1,0.6395440697669983,-0.2534036338329315,-0.631603479385376,-0.3575570583343506,-56.80665969848633,-187.51797485351562,-1571.987548828125,0.13566336035728455,581.1221,-101.30443,306.1811,89.383446,-174.50214,80.50935
1773040744.9825947,1,0.639309823513031,-0.25317102670669556,-0.6318343877792358,-0.35773271322250366,-56.798892974853516,-187.5184326171875,-1571.9635009765625,0.13240541517734528,581.1221,-101.30442,306.18097,89.38344,-174.50214,80.50935
1773040744.99473,1,0.6396864652633667,-0.2533489465713501,-0.6314448714256287,-0.3576212227344513,-56.80419158935547,-187.51544189453125,-1571.981689453125,0.13437636196613312,581.1221,-101.304405,306.18094,89.38342,-174.50212,80.50936
1773040745.006777,1,0.6395914554595947,-0.2531081736087799,-0.6314736604690552,-0.357910692691803,-56.81134796142578,-187.51626586914062,-1571.988037109375,0.13102541863918304,581.1221,-101.304405,306.18094,89.38342,-174.50212,80.50936
1773040745.0225499,1,0.6394512057304382,-0.2531800866127014,-0.631655752658844,-0.357789009809494,-56.80569076538086,-187.51263427734375,-1571.97412109375,0.1335974931716919,581.12213,-101.304436,306.18112,89.383446,-174.5021,80.50936
1773040745.0397022,1,0.6394361257553101,-0.2533392310142517,-0.6316974759101868,-0.35762953758239746,-56.803977966308594,-187.51329040527344,-1571.9293212890625,0.1337963342666626,581.1221,-101.3044,306.18097,89.38344,-174.50209,80.50936
1773040750.0837746,2,0.6161335110664368,-0.23441973328590393,-0.6489390134811401,-0.3798750638961792,-103.91645812988281,-191.06146240234375,-1569.9644775390625,0.12014825642108917,585.1786,-104.22728,350.68176,93.73149,-174.39941,78.609955
1773040750.0972126,2,0.6161789298057556,-0.23463737964630127,-0.6489611864089966,-0.3796289265155792,-103.91120910644531,-191.05821228027344,-1569.94580078125,0.13792909681797028,585.17865,-104.22731,350.68195,93.731514,-174.39938,78.609955
1773040750.10974,2,0.616152822971344,-0.23466601967811584,-0.6489734649658203,-0.3796326816082001,-103.90992736816406,-191.05584716796875,-1569.9190673828125,0.13244174420833588,585.1786,-104.2273,350.6818,93.7315,-174.39937,78.60994
1773040750.1223981,2,0.6162513494491577,-0.23429280519485474,-0.6487935781478882,-0.3800106346607208,-103.90830993652344,-191.05364990234375,-1569.972900390625,0.12366598099470139,585.17865,-104.22733,350.68185,93.73151,-174.3993,78.60994
1773040750.1369646,2,0.6161739826202393,-0.23431529104709625,-0.6488758325576782,-0.3799818456172943,-103.91065216064453,-191.0512237548828,-1569.957275390625,0.11639435589313507,585.1787,-104.227234,350.6819,93.731514,-174.3993,78.60994
1773040750.1467443,2,0.6162222623825073,-0.23442897200584412,-0.6488357186317444,-0.3799017667770386,-103.91397857666016,-191.04922485351562,-1569.9676513671875,0.12239242345094681,585.1788,-104.227264,350.682,93.73153,-174.39925,78.60994
1773040750.1571538,2,0.6163256764411926,-0.2343151718378067,-0.6486965417861938,-0.38004183769226074,-103.91063690185547,-191.0493621826172,-1569.9674072265625,0.11795227229595184,585.17883,-104.22729,350.68204,93.73153,-174.39925,78.60993
1773040750.1669888,2,0.6162589192390442,-0.23442868888378143,-0.6488121151924133,-0.3798827826976776,-103.90504455566406,-191.04612731933594,-1569.954345703125,0.12039417773485184,585.17883,-104.22732,350.6822,93.731544,-174.39922,78.609924
1773040750.1771889,2,0.6163008809089661,-0.23453950881958008,-0.6487988829612732,-0.37976905703544617,-103.90296936035156,-191.0463409423828,-1569.9764404296875,0.12454129010438919,585.1789,-104.2272,350.6821,93.731544,-174.39922,78.60994
1773040750.1889532,2,0.6162816882133484,-0.2346542626619339,-0.6488245129585266,-0.3796854317188263,-103.90754699707031,-191.05067443847656,-1569.955078125,0.13231514394283295,585.1789,-104.22734,350.6821,93.731544,-174.39922,78.60992
1773040756.9093394,3,0.6813303828239441,-0.2141541689634323,-0.5850517153739929,-0.3842412233352661,-180.0547332763672,-198.13143920898438,-1589.95263671875,0.12271391600370407,577.7685,-110.158455,430.78412,85.12374,-174.55965,73.39935
1773040756.9201744,3,0.6810942888259888,-0.21391333639621735,-0.5852922201156616,-0.3844277262687683,-180.0532684326172,-198.12867736816406,-1589.934814453125,0.11643975973129272,577.7687,-110.15841,430.7845,85.12383,-174.55963,73.39936
1773040756.9320958,3,0.6810933351516724,-0.21396031975746155,-0.5852917432785034,-0.3844040036201477,-180.0561981201172,-198.1246337890625,-1589.9237060546875,0.11492104083299637,577.7688,-110.15831,430.7849,85.12395,-174.55962,73.399376
1773040756.9447975,3,0.6811484694480896,-0.21399396657943726,-0.5852378010749817,-0.3843696117401123,-180.0575714111328,-198.1219940185547,-1589.929931640625,0.11564797908067703,577.76886,-110.15832,430.78503,85.12403,-174.55962,73.399376
1773040756.9572227,3,0.6811376214027405,-0.21398690342903137,-0.5852524042129517,-0.3843706250190735,-180.06051635742188,-198.1111602783203,-1589.917236328125,0.11546801030635834,577.7691,-110.15816,430.7856,85.124176,-174.55963,73.39938
1773040756.9715683,3,0.6810871362686157,-0.21405749022960663,-0.5853521823883057,-0.3842689096927643,-180.06256103515625,-198.11105346679688,-1589.9368896484375,0.11423152685165405,577.7693,-110.15797,430.7857,85.12427,-174.55963,73.399414
